nombre	apellidos	ciudad	sueldo
"Victor Manuel Zurita Sebastián"	"Ochoa"	"Alicante"	1810
"Modesta Villanueva Caparrós"	"Gálvez"	"Jaén"	1986
"Prudencio Plaza Gual"	"Domingo"	"Huelva"	5802
"Maxi Gimeno"	"Sanabria"	"Ceuta"	3021
"Emma Aguiló Mármol"	"Lerma"	"Jaén"	5824
"Heraclio Alemany"	"Jaén"	"Lugo"	2934
"Lupe Paz Giménez"	"Carreras"	"Palencia"	4300
"Conrado Jimenez"	"Alvarado"	"Segovia"	2837
"Alfredo Miguel Anglada Tello"	"Benitez"	"Valencia"	3871
"Poncio de Múgica"	"Peñalver"	"Málaga"	1043
"Lope Cobos Padilla"	"Barranco"	"Lleida"	3070
"Nuria Tejero Alcalá"	"Guardia"	"La Coruña"	5818
"Eliseo Ribes Catalá"	"Piñeiro"	"Alicante"	1749
"Bruno Rafael Adán Santana"	"Cañas"	"Sevilla"	4405
"José Antonio Parejo Grande"	"Marcos"	"La Rioja"	3692
"Maura Gordillo"	"Carrillo"	"Ciudad"	2141
"Tamara Amaya Bilbao Guijarro"	"Cerdán"	"Baleares"	3919
"Chus Pelayo Santamaría"	"Araujo"	"Guipúzcoa"	5468
"Ximena Mancebo Pavón"	"Ayuso"	"Madrid"	3819
"Olimpia Anna Alberto Anaya"	"Bellido"	"Ourense"	4941
"Tristán Carro Acedo"	"Sandoval"	"Girona"	2238
"Anselmo del Alcaraz"	"Blanes"	"Valencia"	1218
"Daniela Solana Flor"	"Mendizábal"	"Santa Cruz de Tenerife"	3517
"Amador Ferreras Martinez"	"Luján"	"Guipúzcoa"	3365
"Primitiva de Tena"	"Bas"	"Ourense"	4909
"Samu Patiño Pozuelo"	"Rojas"	"León"	2756
"Godofredo Pi Armengol"	"Valbuena"	"Las Palmas"	4240
"Nilda Valcárcel Figuerola"	"Arregui"	"Castellón"	3174
"Ruperta Ros Llopis"	"Ariño"	"La Rioja"	2262
"Leire Villar Pujol"	"Jover"	"Burgos"	2472
"Azeneth Díez Sastre"	"Botella"	"Zaragoza"	1011
"Águeda Emilia Murcia Calleja"	"Lopez"	"Valencia"	4592
"Jesús del Ponce"	"Monreal"	"Segovia"	1571
"Calixta Múñiz Corominas"	"Patiño"	"Granada"	5421
"Luisina del Jerez"	"Vazquez"	"Castellón"	2537
"Federico Agullo-Lerma"	"Abril"	"Asturias"	3706
"Ulises Parejo Rodriguez"	"Rivero"	"Málaga"	1095
"Eva María Llorente"	"Manzanares"	"Álava"	2599
"María Ángeles Jaume Sanz"	"Bauzà"	"Almería"	1306
"Emma Luque Meléndez"	"Terrón"	"Cádiz"	2090
"Reyes Felipe Rocamora Almagro"	"Murcia"	"Burgos"	5028
"Angélica Izquierdo-Real"	"Lasa"	"Granada"	4435
"Reynaldo Cristian Sala Mateu"	"Agullo"	"Cáceres"	3411
"Primitivo Español Aguilera"	"Iniesta"	"Alicante"	1289
"Armando Dávila Gil"	"Dominguez"	"Córdoba"	1290
"Juan José Torrent Romero"	"Solís"	"Cádiz"	4212
"Tadeo Gras Acedo"	"Figueras"	"Málaga"	4327
"Galo Casanova-Cortina"	"Torrecilla"	"Huelva"	1261
"Marcio Checa Piña"	"Piñol"	"Guipúzcoa"	4218
"Azucena Cuervo-Goicoechea"	"Ayllón"	"Salamanca"	1076
"Eugenio Cañas Mayoral"	"Chaves"	"Segovia"	1266
"Victor Manuel Coca"	"Recio"	"Valencia"	2426
"Elvira Aragonés"	"Reyes"	"Las Palmas"	2256
"Jaime Santamaría-Zaragoza"	"Pinto"	"Tarragona"	5750
"Jordán Baeza Almagro"	"Almeida"	"Guadalajara"	1280
"Paulina Alcaraz Falcón"	"Almagro"	"Badajoz"	4720
"Evaristo Lledó Buendía"	"Priego"	"León"	1827
"Teodora Tena Moraleda"	"Jaume"	"Huelva"	4399
"Elba Obdulia Villalobos Benito"	"Heras"	"Huesca"	3128
"Sandalio Sanmartín Guillen"	"Ferrero"	"Zaragoza"	5930
"Elba de Cifuentes"	"Valencia"	"Melilla"	2772
"Fidela Gomez Iniesta"	"Nogueira"	"Cuenca"	2813
"Ámbar Morales Merino"	"Duran"	"Málaga"	2250
"Esteban Sánchez Menéndez"	"Morata"	"Navarra"	3616
"Florencio Gómez Plana"	"Quintero"	"Cádiz"	4500
"Marisol Loida Hierro Araujo"	"Barranco"	"León"	5218
"Marcelino Espejo Aliaga"	"Vazquez"	"Alicante"	5318
"Ricarda Farré Sanjuan"	"Mateos"	"Salamanca"	3580
"Marta del Morillo"	"Araujo"	"Castellón"	5361
"Concepción del Calderón"	"Ferreras"	"Toledo"	1235
"Edmundo Gimeno Losada"	"Elorza"	"Zaragoza"	2520
"Cándida Ledesma Verdejo"	"Avilés"	"Granada"	1825
"Albino Villena"	"Sacristán"	"Badajoz"	1776
"Raimundo Murcia Carmona"	"Pellicer"	"Alicante"	1805
"Rufino Heliodoro Iborra Heredia"	"Alegre"	"Albacete"	3720
"Roque Cerezo Porras"	"Morales"	"Cantabria"	1940
"Mauricio Berrocal Torre"	"Aragón"	"Salamanca"	3214
"Oriana de Gascón"	"Acedo"	"Soria"	4205
"Gabino Atilio Toro Álvaro"	"Lerma"	"Barcelona"	2663
"Rubén Timoteo Juan Cervantes"	"Ruiz"	"Valladolid"	4724
"Sosimo Francisco Jose Narváez Almazán"	"Peña"	"Ceuta"	1370
"Etelvina Dalmau"	"Dávila"	"Baleares"	3618
"Jose Francisco Ferrer Esteve"	"Bravo"	"Cuenca"	5609
"Ciríaco del Company"	"Barreda"	"Cáceres"	4068
"Lara del Iniesta"	"Seguí"	"Badajoz"	4263
"Soledad Camino Solera"	"Peñas"	"Guipúzcoa"	3372
"Hernán Casanovas Rivera"	"Alberdi"	"Valencia"	5688
"Evaristo Bermudez Tamayo"	"Garcés"	"Cantabria"	3223
"Nerea Estevez Gomis"	"Andres"	"Sevilla"	4910
"Marita Soria Díez"	"Fuente"	"La Coruña"	4601
"Miguel Rey Iriarte"	"Mayo"	"Ciudad"	1603
"Tomasa Mendez-Gibert"	"Hernández"	"Salamanca"	3594
"Abril Toro-Reyes"	"Guzmán"	"Soria"	2463
"Silvia Duque Calvo"	"Morera"	"Palencia"	5886
"Merche Carreño Quintero"	"Camps"	"Cádiz"	3827
"Anunciación Pol Juan"	"Hoz"	"Albacete"	5681
"Maite Esparza-Leal"	"Figuerola"	"Ourense"	4513
"Eliseo Marqués Segarra"	"Gonzalez"	"Lugo"	4265
"Felicidad Alcaraz Vendrell"	"Marcos"	"Jaén"	2122
"Manolo Mendez Martín"	"Marti"	"Zamora"	4100
"Desiderio Angelino Guardia Perelló"	"Carballo"	"Valladolid"	1407
"Roldán Donoso Prats"	"Moya"	"Badajoz"	3840
"Edmundo Gelabert Sevilla"	"Hernandez"	"Ourense"	5236
"Anita Cortés Naranjo"	"Martinez"	"Cuenca"	2876
"Jovita Peralta Carlos"	"Alemany"	"Cáceres"	2132
"Elba María Del Carmen Olmedo Maldonado"	"Boada"	"Cáceres"	4231
"Maura Doménech Barragán"	"Nogueira"	"La Coruña"	3211
"Bárbara Gallart Rebollo"	"Diéguez"	"Baleares"	1614
"Concha Rebollo Roca"	"Santos"	"Las Palmas"	1508
"Ibán Baró Nebot"	"Gibert"	"Toledo"	1340
"Primitiva de Baró"	"Rosell"	"Soria"	3995
"Nicanor del Rubio"	"Orozco"	"Ourense"	1297
"Néstor de Sanmiguel"	"Cabrero"	"Cáceres"	4726
"Delfina Zaragoza-Amigó"	"Jimenez"	"Pontevedra"	2575
"Graciano Pomares Barrio"	"Martorell"	"Ourense"	4798
"Marcelo José Mari Gomila Almeida"	"Méndez"	"Murcia"	2596
"Diana Riquelme Lamas"	"Prada"	"Ávila"	5511
"Pastor Soria Huguet"	"Puerta"	"Cáceres"	5768
"Rolando Alba"	"Delgado"	"Guadalajara"	1848
"Feliciano del Miranda"	"Corbacho"	"Jaén"	1498
"Samuel Perelló Carretero"	"Isern"	"Lugo"	4393
"Iris Palomo Expósito"	"Porta"	"León"	3707
"Francisco Jose Carbó Bustamante"	"Pazos"	"Jaén"	1076
"Duilio Poza Alsina"	"Porta"	"Zamora"	1461
"Pili Juana Reig Macías"	"Garriga"	"León"	3243
"Constanza Alcaraz Velázquez"	"Comas"	"Valladolid"	1380
"Fito Tristán Mena Jordán"	"Ávila"	"Zaragoza"	2727
"Maximiano Torrecilla Aguilar"	"Tenorio"	"Almería"	3658
"Narciso Tur Vergara"	"Sacristán"	"Las Palmas"	5374
"Ambrosio Torrens Tur"	"Mendizábal"	"Jaén"	2295
"Morena Roca Roldán"	"Arrieta"	"Salamanca"	2196
"Lucas Ruano Díaz"	"Criado"	"Álava"	3282
"Adolfo Alcántara Baró"	"Ugarte"	"Cáceres"	4557
"Cesar Díaz Andres"	"Boix"	"Cuenca"	4322
"Ruben Arco Armengol"	"Mercader"	"Pontevedra"	2162
"Victoria Palomo Briones"	"Hernando"	"Salamanca"	2065
"Severiano Pedraza-Mena"	"Pons"	"Cádiz"	5113
"Ana Belén del Lumbreras"	"Hurtado"	"La Rioja"	1094
"Rufina Estela Roura Heras"	"Heras"	"Granada"	5631
"Perlita Múgica Sarabia"	"Pinilla"	"Barcelona"	2458
"Ariadna Vazquez Viñas"	"Ripoll"	"León"	1285
"Paula Cortina"	"Miranda"	"Álava"	1941
"Juan Pablo Riquelme Verdú"	"Uriarte"	"Teruel"	1292
"Rosalía Perelló Querol"	"Larrañaga"	"Málaga"	4568
"Clarisa Ramos Bravo"	"Ramírez"	"Palencia"	4779
"Martín Rueda Jurado"	"Garriga"	"Huesca"	2740
"Teodoro Olivé"	"Cañellas"	"Girona"	1375
"Alicia Carreras Aguiló"	"Pera"	"Vizcaya"	5586
"Santos Nicolás Castells"	"Ponce"	"Barcelona"	1805
"Jose Manuel Puga Sáenz"	"Salvà"	"Vizcaya"	2433
"Mercedes Córdoba Catalán"	"Belmonte"	"Teruel"	5313
"Ruy Colom Font"	"Collado"	"Santa Cruz de Tenerife"	2101
"Chema Pepe Vargas Dalmau"	"Amor"	"Navarra"	3995
"Constanza Roberta Arregui Muñoz"	"Casares"	"Melilla"	3706
"José Mari Hurtado Villa"	"Arrieta"	"Zaragoza"	4690
"Reyes Heredia Seco"	"Benet"	"Ciudad"	5905
"Jose Francisco Escolano Bayo"	"Gibert"	"Ceuta"	1480
"Damián Jose Meléndez Olivé"	"Serrano"	"Albacete"	3595
"Marina Llobet Molins"	"Alberto"	"Córdoba"	2183
"Noa Nuñez"	"Córdoba"	"Girona"	3069
"Quique Doménech"	"Durán"	"Asturias"	1904
"Plinio Poza Hidalgo"	"Heredia"	"Ávila"	3553
"Tomasa Alarcón Tena"	"Puig"	"Valencia"	4541
"Adelaida Blanch"	"Castro"	"Huesca"	4043
"Nuria Ropero Verdugo"	"Bautista"	"Las Palmas"	3578
"Anunciación Montserrat Ríos"	"Vilanova"	"Ourense"	5227
"Maura Torrijos Osuna"	"Baena"	"Alicante"	2183
"Isidoro Quintanilla Orozco"	"Fajardo"	"Palencia"	2448
"Fidel Coronado Roselló"	"Cózar"	"Palencia"	3197
"Amaya Ferrero Moya"	"Cal"	"Almería"	3174
"Gabriel Velasco Milla"	"Barón"	"Álava"	4680
"Marino Díez Otero"	"Cobos"	"Girona"	3777
"Raúl Vicente Reina"	"Anguita"	"Lleida"	3695
"Judith Serafina Ibarra Sedano"	"Bermúdez"	"Álava"	2722
"Bernarda Nuñez Contreras"	"Cobo"	"Málaga"	1198
"Lalo Milla Sandoval"	"Pou"	"Álava"	3314
"Alberto Sebastián Abril Ángel"	"Estrada"	"Guipúzcoa"	4274
"Manola Valero Salazar"	"Beltran"	"Sevilla"	1874
"Amancio Fuster Rivero"	"Andrés"	"Valencia"	4454
"Wilfredo del Luján"	"Calvet"	"Murcia"	4788
"Jaime Mur Velázquez"	"Corominas"	"Zamora"	5449
"Osvaldo Rubén Carbonell Olivé"	"Sacristán"	"Badajoz"	3611
"Yago Tomas Carmona"	"Saavedra"	"Toledo"	2286
"Ramona Téllez"	"Izaguirre"	"Sevilla"	4093
"Lalo Espejo Leiva"	"Larrea"	"Las Palmas"	2520
"Bartolomé del Pazos"	"Espejo"	"Valencia"	3553
"Zaida Bayo Quevedo"	"Cuevas"	"Valladolid"	4703
"Teófilo Moya Ramírez"	"Avilés"	"Girona"	3392
"Guadalupe Camino Barral"	"Nieto"	"Badajoz"	1701
"Fátima Sara Farré Tenorio"	"Álamo"	"Almería"	1007
"Amancio Diego Moraleda Vigil"	"Roman"	"Santa Cruz de Tenerife"	5908
"Petrona Cervera Estrada"	"Balaguer"	"Tarragona"	3885
"Pedro Romeu Valentín"	"Jiménez"	"Badajoz"	1926
"Reina Salgado-Tello"	"Roman"	"Ceuta"	2119
"Domitila de Jerez"	"Pinto"	"Ceuta"	4509
"Diego Marqués Palomares"	"Molins"	"Jaén"	3695
"Eligia Diéguez Fiol"	"Fabregat"	"Soria"	3616
"Osvaldo Hernandez Salamanca"	"Peinado"	"Cuenca"	5354
"Artemio Reig-Gabaldón"	"Gallo"	"Huesca"	2011
"Jose Antonio Salmerón Ruiz"	"Neira"	"Cáceres"	1308
"Roxana Tapia"	"Pedrero"	"La Coruña"	3600
"Teresa Fuentes Olivé"	"Maza"	"Málaga"	1642
"Dionisio Mulet Merino"	"Bautista"	"Zaragoza"	1255
"Xavier Fuentes"	"Esparza"	"León"	5958
"Carlota Rodriguez"	"Villalba"	"Ciudad"	3826
"Severino Benito Bellido"	"Buendía"	"Alicante"	1333
"Goyo Conde Roig"	"Solana"	"Lugo"	4661
"Lucio Cortés Badía"	"Anguita"	"Guipúzcoa"	3942
"Adolfo Parejo-Plaza"	"Chico"	"Córdoba"	1131
"Ariadna del Francisco"	"Rodriguez"	"Cádiz"	1395
"Lorena Guzmán-Jove"	"Valle"	"Navarra"	1897
"Espiridión Figueroa Castillo"	"Román"	"Melilla"	5022
"Gerardo Marín Mínguez"	"Busquets"	"Ourense"	4000
"Diego Iñiguez Aliaga"	"Clemente"	"Girona"	2094
"Tere Goicoechea-Plaza"	"Busquets"	"Toledo"	1651
"Leonel Calvet Perea"	"Oliver"	"Huelva"	5878
"Marcela Mascaró"	"Prats"	"Las Palmas"	3295
"Jovita Piquer Alvarado"	"Calleja"	"Tarragona"	2586
"Goyo Canals Alemany"	"Cerezo"	"Albacete"	5738
"Alfredo Román Figuerola"	"Prat"	"Teruel"	1682
"Isa Sanmiguel"	"Castell"	"Castellón"	4655
"Ricarda Calista Chaparro Rojas"	"Jiménez"	"Guipúzcoa"	2186
"Carmela Bayo Fuentes"	"Porras"	"Zaragoza"	1126
"Fernanda Checa Borrás"	"Cuevas"	"Guadalajara"	1431
"Luisa Mayoral Cortes"	"Lucena"	"Zamora"	2095
"Albina Ferrández Exposito"	"Palomares"	"Zaragoza"	5269
"Lorenza Berrocal Tejero"	"Olivera"	"Valladolid"	3439
"Nicolasa Riera Heredia"	"Amador"	"Burgos"	5823
"Estefanía Isern Suarez"	"Marin"	"Huesca"	1689
"Vidal Cuenca Solera"	"Villalonga"	"Ourense"	2944
"Anastasio Pareja Tello"	"Castro"	"Salamanca"	4390
"Félix Mayo Bustos"	"Gárate"	"Girona"	1104
"Mayte Plana Gómez"	"Fabregat"	"Álava"	2936
"Felisa Gomis Reyes"	"Garay"	"Cádiz"	1592
"Flor Araujo Moll"	"Alcántara"	"Asturias"	2957
"Renata Adriana Lillo Iborra"	"Gutierrez"	"Teruel"	4648
"Cristian Tamayo"	"Ribas"	"Álava"	2192
"Víctor Avilés Aroca"	"Huertas"	"Pontevedra"	3337
"Bernarda Milla Cózar"	"Rubio"	"Vizcaya"	5496
"Teresita Carrión Velasco"	"Salvà"	"Girona"	2756
"Jose Antonio Duarte"	"Mir"	"Zaragoza"	4338
"Marita Rubio Vallés"	"Esteban"	"Alicante"	3114
"Zacarías Pinedo Amor"	"Colom"	"Cádiz"	1549
"Caridad del Domínguez"	"Castells"	"Madrid"	3305
"Rocío de Pizarro"	"Miranda"	"Salamanca"	1679
"Cristóbal Alemán Valentín"	"Carranza"	"Pontevedra"	2012
"Cándida Molina Verdugo"	"Haro"	"Córdoba"	3935
"Arcelia Torralba Herrero"	"Alvarez"	"Valencia"	3242
"Fito de Carrillo"	"Hernandez"	"León"	3526
"Ildefonso Ramírez Pedraza"	"Ariza"	"La Rioja"	4929
"Isabel Vicente Esparza"	"Lara"	"Zaragoza"	4285
"Sigfrido Manzano Manzanares"	"Casal"	"Guipúzcoa"	5239
"Aroa Cabo Palau"	"Rovira"	"Zamora"	5397
"Teresita Galván"	"Díez"	"Barcelona"	2764
"Teófilo Roma Jara"	"Toledo"	"Zaragoza"	1056
"Régulo Raimundo Español Álvarez"	"Contreras"	"Lugo"	3608
"Martin Bilbao-Marin"	"Taboada"	"Málaga"	1105
"Danilo Anaya"	"Gallego"	"Jaén"	2847
"Hortensia Montalbán Baró"	"Cisneros"	"Toledo"	5571
"Pablo Salazar Moles"	"Barrena"	"Baleares"	4451
"Magdalena Borrás Mateu"	"Báez"	"Pontevedra"	1046
"Modesto de Arroyo"	"Calderón"	"Sevilla"	2803
"Marcial Solís Pablo"	"Bravo"	"Las Palmas"	4584
"Isidro Giménez Torrent"	"Valera"	"Santa Cruz de Tenerife"	4879
"José Mari Aurelio Montenegro Arias"	"Puente"	"Zaragoza"	2001
"Plácido Andrés Sacristán"	"Espada"	"Toledo"	4257
"Maximiano Barberá Tejedor"	"Alberto"	"Cantabria"	3264
"José Alfaro Paredes"	"Balaguer"	"Granada"	2804
"Fermín Plana Gallart"	"Tejada"	"Girona"	1935
"Bibiana de Luján"	"Acosta"	"Huelva"	2954
"Marcos Lucena"	"Jódar"	"Guadalajara"	5977
"Melania Carpio Calvo"	"Abril"	"Guadalajara"	5997
"Salvador Cañas Amaya"	"Mariscal"	"Santa Cruz de Tenerife"	5186
"Amanda del Vives"	"Blazquez"	"Madrid"	5539
"Juan Pablo Ledesma Manjón"	"Mayol"	"Cantabria"	3285
"Cecilio del Villalba"	"Pedrosa"	"Girona"	1636
"Marc Dávila Miró"	"Folch"	"Jaén"	5904
